columnfamily,column,description
metadata,relativeFilePath, Dateipfad
metadata,owner, Owner der Datei
metadata,group, Group der Datei
metadata,permissions, Posix Permissions
metadata,fileType, Datentyp (Verzeichns, Datei, Other)
metadata,fileSize, Dateigröße in Bytes
metadata,lastModified, Zeitpunkt der letzten Änderung
metadata,lastAccessed, Zeitpunkt des letzten Zugriffs
metadata,lastChanged, Zeitpunkt der letzten Metadatanänderung
metadata,created, Zeitpunkt der Erstellung
metadata,fileHash, Hashsumme der Datei (Berechnung erfolgt mit Spark)
metadata,mediaType, Medientyp z.B.:PNG-Image; Word-Dokument; Text-Datei (Berechnung erfolgt mit Spark)
content,fileContent, Dateiinhalt bei kleinen Dateien
content,hdfsFilePath, Referenz auf HDFS-Pfad bei großen Dateien
